image,item_name,price,rank1
"https://images-na.ssl-images-amazon.com/images/I/51ZdmnHKukL._AC_UL200_SR200,200_.jpg","
            Fire TV Stick streaming media player with Alexa built in, includes Alexa Voice Remote, HD, easy set-up, released 2019
        ,
            ,
            ,
        , ","$34.99,$74.98",#1
"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL200_SR200,200_.jpg","
            Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal
        ,
            ,
            ,
        , ","$16.97,$79.98",#2
"https://images-na.ssl-images-amazon.com/images/I/51bRtmWNBbL._AC_UL200_SR200,200_.jpg","
            Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 1 camera kit
        ,
            ,
            ,
        , ","$64.99,$294.99",#3
"https://images-na.ssl-images-amazon.com/images/I/51CgKGfMelL._AC_UL200_SR200,200_.jpg","
            Fire TV Stick 4K streaming device with Alexa built in, Dolby Vision, includes Alexa Voice Remote, latest release
        ,
            ,
            ,
        , ","$49.99,$82.97",#4
"https://images-na.ssl-images-amazon.com/images/I/81T70LF0wWL._AC_UL200_SR200,200_.jpg","
            Roku Express HD Streaming Media Player 2019
        ,
            ,
            ,
        ,   ",$24.00,#5
"https://images-na.ssl-images-amazon.com/images/I/61jIs7q6SML._AC_UL200_SR200,200_.jpg","
            All-new Fire HD 8 tablet, 8"" HD display, 32 GB, designed for portable entertainment, Black
        ,
            ,
            ,
        , ","$89.99,$184.99",#6
"https://images-na.ssl-images-amazon.com/images/I/61B04f0ALWL._AC_UL200_SR200,200_.jpg","
            Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, One Pack, White - WYZEC2
        ,
            ,
            ,
        , ","$25.98,$88.98",#7
"https://images-na.ssl-images-amazon.com/images/I/61vUiHar9rL._AC_UL200_SR200,200_.jpg","
            Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black
        ,
            ,
            ,
        , ","$149.99,$249.96",#8
"https://images-na.ssl-images-amazon.com/images/I/71mlE7vPglL._AC_UL200_SR200,200_.jpg","
            All-new Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel (2nd Gen)
        ,
            ,
            ,
        , ","$99.99,$119.99",#9
"https://images-na.ssl-images-amazon.com/images/I/71fwbMm1NBL._AC_UL200_SR200,200_.jpg","
            Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminum Case with Black Sport Band
        ,
            ,
            ,
        ,   ",$169.00,#10
"https://images-na.ssl-images-amazon.com/images/I/514mBrHxPnL._AC_UL200_SR200,200_.jpg","
            Fire 7 Tablet (7"" display, 16 GB) - Black
        ,
            ,
            ,
        , ","$49.99,$102.97",#11
"https://images-na.ssl-images-amazon.com/images/I/61drpi3cYUL._AC_UL200_SR200,200_.jpg","
            Nintendo Switch Pro Controller
        ,
            ,
            ,
        , , , ",,#12
"https://images-na.ssl-images-amazon.com/images/I/61eAq6gg-XL._AC_UL200_SR200,200_.jpg","
            Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited (with auto-renewal)
        ,
            ,
            ,
        , ","$129.99,$179.99",#13
"https://images-na.ssl-images-amazon.com/images/I/71otR5nJLGL._AC_UL200_SR200,200_.jpg","
            Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)
        ,
            ,
            ,
        ,   ",$31.62,#14
"https://images-na.ssl-images-amazon.com/images/I/8102ADu5CiL._AC_UL200_SR200,200_.jpg","
            Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable
        ,
            ,
            ,
        ,   ",$38.99,#15
"https://images-na.ssl-images-amazon.com/images/I/61lgxCi9b7L._AC_UL200_SR200,200_.jpg","
            All-new Fire HD 8 Kids Edition tablet, 8"" HD display, 32 GB, Blue Kid-Proof Case
        ,
            ,
            ,
        , ","$139.99,$209.98",#16
"https://images-na.ssl-images-amazon.com/images/I/614CkxmmyaL._AC_UL200_SR200,200_.jpg","
            Anker PowerPort Cube USB Power Strip with 3 Outlets and 3 USB Ports, Portable Design, 5 ft Extension Cord, Overload Protection for iPhone XS/XR, Compact for Travel, Cruise Ship and Office
        ,
            ,
            ,
        ,   ",$16.99,#17
"https://images-na.ssl-images-amazon.com/images/I/51R2a9p-vNL._AC_UL200_SR200,200_.jpg","
            TP-Link AC1750 Smart WiFi Router - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa, VPN Server, Parental Control&QoS (Archer A7)
        ,
            ,
            ,
        ,   ",$64.99,#18
"https://images-na.ssl-images-amazon.com/images/I/71vCuRn4CkL._AC_UL200_SR200,200_.jpg","
            Apple Watch Series 3 (GPS, 38mm) - Silver Aluminum Case with White Sport Band
        ,
            ,
            ,
        ,   ",$169.00,#19
"https://images-na.ssl-images-amazon.com/images/I/81ilNbqaGWL._AC_UL200_SR200,200_.jpg","
            Echo Dot (3rd Gen) - Smart speaker with clock and Alexa - Sandstone
        ,
            ,
            ,
        , ","$25.97,$89.98",#20
"https://images-na.ssl-images-amazon.com/images/I/61DPuDA7ISL._AC_UL200_SR200,200_.jpg","
            Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case
        ,
            ,
            ,
        , ","$99.99,$199.98",#21
